Why are M&Ms always happy,Because there's no blue
Why did the fire get under the tree,Becasue the tree got on fire
Why did the witch throw a potion at Steve,To make him turn into a wither
Why did the wither make everything on fire,To destroy the planet
Why did the chicken cross the road,To get to the other side
Why did the ender dragon make the world into an ender dragon,To make five thousand two hundred eighty eight monsters
Why does the car only have one seat,Because I only have one butt
What time did the man go to the dentist,Tooth hurty
Did you hear about the guy who invented Lifesavers,They say he made a mint
A ham sandwich walks into a bar and orders a beer,Bartender says Sorry we don’t serve food here
Why do chicken coops only have two doors,Because if they had four they would be chicken sedans
Why did the Clydesdale give the pony a glass of water,Because he was a little horse
Two guys walk into a bar, the third one ducks
I had a dream that I was a muffler last night,I woke up exhausted
What’s Forrest Gump’s password,one forrest one
What do you call a duck with fangs,Count quackula
Why did the arms from the statue break off,Because to lose the head too
What is a ghost's favorite bedtime story,Little Boo Peep
What is a spook's favorite ride,A roller ghoster
What's big white furry and found in outback Austrailia, A very lost polar bear
